title,reference_number,solicitation_number,contract_number,publishing_status,award_date,publication_date,gsin,contract_award_procedure,tendering_procedure,customer_info,supplier_info,currency,contract_value
AIRCRAFT SPARES - CP 140 (W8485-142296/001/BY),PW-$$BY-275-24378,W8485-142296/A,W8485-142296/001/BY,Active,2014-04-03,2014-04-04,N1560 - Airframe Structural Components,Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE DGAEPM 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,Blue Aerospace 6501-B Nob Hill Road Tamarac Florida 33321 United States,USD,15840.90
Miscellaneous Electric Power and Distribution Equipment (W8482-134766/051/USW),PW-$USW-005-1209,W8482-134766/01,W8482-134766/051/USW,Active,2014-04-02,2014-04-03,N6150 - Miscellaneous Electric Power and Distribution Equipment,Exclusive Rights,,DEPARTMENT OF NATIONAL DEFENCE ATTN DGMEPM NP - DMARP 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,UNITED STATES DEPARTMENT OF THE NAVY (SPAWAR) 2521 South Clark Street Suite 800 Arlington Virginia 22202-3928 United States,USD,51855.00
Airframe Structural Components (W8485-142280/001/BY),PW-$$BY-276-24413,W8485-142280/B,W8485-142280/001/BY,Active,2014-04-01,2014-04-02,N1560 - Airframe Structural Components,Best Overall Proposal,,DEPARTMENT OF NATIONAL DEFENCE DGAEPM 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,Blue Aerospace 6501-B Nob Hill Road Tamarac Florida 33321 United States,USD,90000.00
ADP Software (F2934-130562/001/EE),PW-$$EE-027-27545,F2934-130562,F2934-130562/001/EE,Active,2014-04-01,2014-04-02,N7030 - ADP Software,Exclusive Rights,,FISHERIES AND OCEANS CANADA CCIW 867 LAKESHORE ROAD BURLINGTON ON L7R4A6 CAN,JEPPESEN NORWAY AS HOVLANDSVEIEN 52 EGERSUND 4370 Norway,USD,31250.00
Communications Security Equipment and Components (W8474-146869/001/QD),PW-$$QE-015-24414,W8474-146869,W8474-146869/001/QD,Active,2014-02-24,2014-04-02,N5810 - Communications Security Equipment and Components,Exclusive Rights,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DRIVE OTTAWA ON K1A0K2 CAN,"L-3 SERVICES, INC 941 MERCANTLE DRIVE, STE Q HANOVER Maryland 21076 United States",USD,258651.00
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-145560/04-GRK10),PW-13-00356896,GRK(W8482-145560/000/A),W8482-145560/04-GRK10,Active,2013-11-07,2014-04-02,"N1045 - Launchers, Torpedo and Depth Charges, Unless Installed in a Vehicle, Aircraft, Ship, N4440 - Dryers, Dehydrators and Anhydrators, N4820 - Valves, Nonpowered, N4921 - Torpedo Maintenance, Repair and Checkout Specialized Equipment, N5845 - Underwater Sound Equipment, N5980 - Optoelectronic Devices and Associated Hardware, N5998 - Electrical and Electronic Assemblies, Boards, Cards and Associated Hardware, N6150 - Miscellaneous Electric Power and Distribution Equipment",,Open,"Pekrul, Sonja 261-982-5225 Mayener Strasse 87 Koblenz  ON K1A 0S5 CA Sonja.Pekrul@pwgsc.gc.ca","Babcock International Group Marine and Technology Division Ashton House, Ashton Vale Road Bristol, South West England, BS3 2HQ United Kingdom",GBP,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-145560/05-GRK10),PW-13-00356896,GRK(W8482-145560/000/A),W8482-145560/05-GRK10,Active,2014-01-28,2014-04-02,"N1045 - Launchers, Torpedo and Depth Charges, Unless Installed in a Vehicle, Aircraft, Ship, N4440 - Dryers, Dehydrators and Anhydrators, N4820 - Valves, Nonpowered, N4921 - Torpedo Maintenance, Repair and Checkout Specialized Equipment, N5845 - Underwater Sound Equipment, N5980 - Optoelectronic Devices and Associated Hardware, N5998 - Electrical and Electronic Assemblies, Boards, Cards and Associated Hardware, N6150 - Miscellaneous Electric Power and Distribution Equipment",,Open,"Pekrul, Sonja 261-982-5225 Mayener Strasse 87 Koblenz  ON K1A 0S5 CA Sonja.Pekrul@pwgsc.gc.ca","Unisource Technology Incorporated 9010 Ryan Avenue Montreal, Quebec H9P 2M8 Canada",GBP,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-146015/05-GRK10),PW-13-00494605,GRK(W8482-146015/000/A),W8482-146015/05-GRK10,Active,2014-02-21,2014-04-02,"N4730 - Hose, Pipe, Tube, Lubrication, and Railing Fittings, N4820 - Valves, Nonpowered, N5305 - Screws, N5307 - Studs, N5310 - Nuts and Washers, N5340 - Hardware, Commercial",,Open,"Pekrul, Sonja 261-982-5225 Mayener Strasse 87 Koblenz  ON K1A 0S5 CA Sonja.Pekrul@pwgsc.gc.ca","Unisource Technology Incorporated 9010 Ryan Avenue Montreal, Quebec H9P 2M8 Canada",GBP,
"CONTRACT AWARD - ACAN - Hi-Scan SQ, MiSeq & C-Bot Equipment Service Coverage & Preventative Maintenance (3000545892)",PW-14-00621029,01R11-14-S056,3000545892,Active,2014-03-18,2014-03-19,JX6640 - Laboratory Equipment and Supplies - Repair,,Limited,"Melissa Smith 306-523-6545 2010 12th Avenue, Room 300 Regina  SK S4P 0M3 CA",iLLUMINA CANADA INC. 44 CHIPMAN HILL SUITE 1000 SAINT JOHN  NB   E2L 2A9 CANADA,USD,61188.00
ADP Software (01044-140639/001/EE),PW-$$EE-011-27522,01044-140639,01044-140639/001/EE,Active,2014-03-31,2014-04-01,N7030 - ADP Software,Exclusive Rights,,AGRICULTURE AND AGRI-FOOD CANADA PROCUREMENT DIV.5TH FL.TWR 3 1285 BASELINE RD OTTAWA ON K1A0C5 CAN,Accelrys Inc 5005 Wateradge Vista Drive San Diego California 92121 United States,USD,45000.00
