title,reference_number,solicitation_number,contract_number,publishing_status,award_date,publication_date,gsin,contract_award_procedure,tendering_procedure,customer_info,supplier_info,currency,contract_value
UK Support Services (166418),PW-14-00646864,2014-CTC-NK-06,166418,Active,2015-09-29,2015-09-30,"T002C - Travelling Exhibits, V503A - Tour Guides, T004B - Events Planning and Management, T099A - Publishing, Co-Publishing and Support Services - Paper and Electronic Format, T099AB - Publishing Support Services",,Open,"King, Nathan 604-638-8343 1400-1055 Dunsmuir St Vancouver  BC V7X 1L2 CA",Roger Harris,,
German Social Media Cultivator (166456),PW-14-00656333,CTC-2014-NK-09,166456,Active,2015-09-29,2015-09-30,"T002G - Internet Communication Services, T014QB - Electronic Publishing",,Open,"King, Nathan 604-638-8343 1400-1055 Dunsmuir St Vancouver  BC V7X 1L2 CA",Ole Helmhausen,,
Cancelled (4500310742),PW-13-00541031,1000152390,4500310742,Cancelled,2015-10-01,2015-10-02,T004D - Media Analysis,,Selective,"Desjardins, Mélanie 613-941-7923 200 Eglantine Driveway, Tunney's Pasture Ottawa  ON K1A 0K9 CA","Densan Consulting Ltd. C/0 Jane McConaghy 611-250 City Centre Avenue Ottawa, On K1R 6K7 Tel: 613-230-4073 Fax: 613-230-4584",,
Standing offer for Investigation services (P1600074),PW-15-00683132,P1600074,P1600074,Active,2015-10-01,2015-10-13,R019M - Harassment (Investigative Services),,Open,"Jerome Collette  344 Slater Street, Floor 8 Ottawa  ON K1A 1E1 CA",Linda Foy Cheryl Henshaw Llb Lynn-Beth Sutton Levy Deborah Olver Boreal Centre for Dispute Resolution Insight Hr Solutions  ADR Chambers H. B. Gillespie  Boullard Consulting 9220-1862 Québec Inc Altis Human Resources (Ottawa) Inc.,,
Kingston Mills Arch Dam Resurfacing (45362249),PW-15-00695667,5P300-15-5247,45362249,Active,2015-09-02,2015-10-21,"5133C - Waterways, Harbours, Dams and Other Water Works, 5154A - Concrete Work, 5139A - Construction Services, Not Elsewhere Specified",,Open,"Marleau, Michel 613-938-5822 111 Water Street East Cornwall  ON K6H 6S3 CA","736902 Ontario Lmited o\a HPN Engineering 5-131 Whitmore Road Woodbridge, ON L4L 6E3",,
Advance Contract Award Notice – 15-22092 – Pack ice driving forces for the NRC Artic Program (2000270),PW-15-00700841,Advance Contract Award Notice – 15-22092 – Pack ice driving forces for the NRC Artic Program,2000270,Active,2015-10-23,2015-10-26,R019F - Consulting Services,,Limited,"Gillis, Johnathon 613-993-5506 1200 Montreal Road, M22 Ottawa  ON K1A 0R6 CA",Garry Timco & Assiocates,,
Advance Contract Award Notice – 15-22080 - Fibergrate Composite Structures (855236),PW-15-00698205,Advance Contract Award Notice – 15-22080,855236,Active,2015-10-23,2015-10-26,"J019A - Maintenance, Repair, Modification, Rebuilding & Installation of Equipment related to Ships, 5164A - Electrical Installations and Major Repairs",,Limited,"Gillis, Johnathon 613-993-5506 1200 Montreal Road, M22 Ottawa  ON K1A 0R6 CA",Fibergrate Ltd,,
Professional Services for IT Security (05005-15-0060),PW-15-00691505,ECBR-RFP-15-0060,05005-15-0060,Active,2015-10-28,2015-10-29,D302A - Informatics Professional Services,,Open,Barbara Robertson 819-939-1493 30 Victoria Street Gatineau  QC K1A 0M6 CA,TRM Technologies Inc.  1000-280 Albert Street Ottawa ON K1P 5G8,,
Professional Services for IT Security (05005-15-0431),PW-15-00705758,ECBR-RFP-15-0060,05005-15-0431,Active,2015-10-28,2015-10-29,D302A - Informatics Professional Services,,Open,Barbara Robertson 819-939-1493 30 Victoria Street Gatineau  QC K1A 0M6 CA,DWP Solutions Inc. 101-340 Legget Drive Ottawa ON K2K 1Y6,,
"Directional Signage Installation, Waterton Lakes National Park, AB (5P420-15-5090)",PW-15-00694413,5P420-15-5090/A,5P420-15-5090,Active,2015-09-30,2015-10-29,"5169D - Other Installation Work, JI9905 - Signs and Identification Plates - Installation",,Open,"National Contracting Services Parks Canada Agency 635 – 8 Avenue S.W., Suite 1300 Calgary, AB   T2P 3M3","Ladntec Ground Experts 21476 - 83 Avenue Langley, BC   V2Y 2C6",,
